label,feed,frac,elisa_ppm,elisa_stdev_ppm,elisa_rsd_percent,den_bradford_stdev_mg_ml,bradford_rsd_percent,swath_ppm,swath_stdev_ppm,swath_rsd_percent,n_dda,n_swath,hcp_mass_frac_elisa,hcp_mass_frac_swath,hcp_mass_frac_elisa_rsd,hcp_mass_frac_elisa_stdev,hcp_mass_frac_swath_rsd,hcp_mass_frac_swath_stdev
HCCF Feed,hccf,feed,400000,151718.6337,37.929658425,0.0,0.0,37401.36722176125,1335.0723964020801,3.5695817976014914,1062.0,1131.0,1.0,1.0,,,,
HCCF Large agg.,hccf,large,127000,47085.07991,37.0748660708661,0.02893235182,5.786470364,186442.92570084118,11419.366736354807,6.124859226183708,1709.0,1980.0,0.005789648937008153,0.09090063811310951,0.5385228682638938,0.0031178583517986348,0.117098218932747,0.010644302822895304
HCCF Small agg.,hccf,small,101000,21960.71811,21.7432852574257,0.0158493675,3.1698735,110588.10520693143,3711.630583795686,3.356265646156535,1390.0,1635.0,0.004021155438904652,0.04708801872617445,0.43734321065697,0.001758625030201298,0.05026711683779686,0.0023669789389689777
HCCF mAb,hccf,mab,162000,75029.08723,46.3142513765432,0.0482410846,9.64821692,16225.09750830336,1712.762523055106,10.556254112978872,593.0,783.0,0.36241672062095576,0.3881977735508589,0.5986915582393388,0.21697583120055114,0.11172437754188673,0.04337115461311601
HCCF SPF 1,hccf,spf1,607000,88846.06283,14.6369131515651,0.01146531077,2.293062154,43452.69581373511,1032.7574246138897,2.3767395906595095,1012.0,1161.0,0.10771733509148948,0.08246813017645295,0.4068607006771396,0.043825950430397644,0.04566058256622761,0.0037655428670043366
HCCF SPF 2,hccf,spf2,718000,156156.5453,21.7488224651811,0.03484024445,6.96804889,133538.06470038983,10843.772213259255,8.120360466200166,504.0,745.0,0.0,0.0,0.43723815780768355,0.0,0.08876033341657875,0.0
PAVIN Feed,pavin,feed,1510,860.3153079,56.9745237019868,0.0,0.0,1553.0384513070126,31.90416709807267,2.0543063226298504,104.0,348.0,1.0,1.0,,,,
PAVIN Large agg.,pavin,large,149000,87284.77599,58.5803865704698,0.02353699907,4.707399814,87179.39637403261,4258.003772790521,4.8841858855297335,1714.0,1883.0,1.4657903814171858,0.8338620241456384,0.8223303712334832,1.2053639485012633,0.10610834036382531,0.08847971547451372
PAVIN Small agg.,pavin,small,11200,,0.0,0.01822801162,3.645602324,20802.78037947331,870.5031386664577,4.184551885792188,786.0,944.0,0.11962541422523068,0.21603372540301483,0.5707141114865885,0.06827191199076763,0.05725405521278798,0.012368806842048488
