label,feed,frac,elisa_ppm,elisa_stdev_ppm,elisa_rsd_percent,den_bradford_stdev_mg_ml,bradford_rsd_percent,swath_ppm,swath_stdev_ppm,swath_rsd_percent
HCCF Feed,hccf,feed,400000,151718.6337,37.929658425,0.0,0.0,34001.582941303146,1213.7143155691308,3.5695817976014914
HCCF Large agg.,hccf,large,127000,47085.07991,37.0748660708661,0.02893235182,5.786470364,169495.2637546347,10381.346300020154,6.124859226183708
HCCF Small agg.,hccf,small,101000,21960.71811,21.7432852574257,0.0158493675,3.1698735,100535.64644362136,3374.243363728658,3.356265646156535
HCCF mAb,hccf,mab,162000,75029.08723,46.3142513765432,0.0482410846,9.64821692,14750.236144798584,1557.0724097093967,10.556254112978872
HCCF SPF 1,hccf,spf1,607000,88846.06283,14.6369131515651,0.01146531077,2.293062154,39502.84576426659,938.8797747164871,2.3767395906595095
HCCF SPF 2,hccf,spf2,718000,156156.5453,21.7488224651811,0.03484024445,6.96804889,6676.903235019491,542.1886106629627,8.120360466200166
PAVIN Feed,pavin,feed,1510,860.3153079,56.9745237019868,0.0,0.0,1411.8672560832051,29.004078308857864,2.0543063226298504
PAVIN Large agg.,pavin,large,149000,87284.77599,58.5803865704698,0.02353699907,4.707399814,79254.78924363306,3870.9512298438626,4.884185885529733
PAVIN Small agg.,pavin,small,11200,,0.0,0.01822801162,3.645602324,18911.807642979187,791.3744033616766,4.184551885792188
